FECHA,UTILH00,UTILH03,UTILH06,UTILH09,UTILH12,UTILH15,UTILH18,UTILH21,ANNO,MES,DIA,DIASEM
2015-01-17,2.7524221314757e-05,3.00264232524622e-05,0.0656865541676675,0.493098927055809,0.524928186804388,0.0902231463688045,3.00264232524622e-05,2.37709184081992e-05,2015,1,17,5
2015-01-18,1.87665145327889e-05,3.37797261590199e-05,0.0712326847625911,0.485784990791897,0.38302456161422,0.0320669689326607,2.50220193770518e-05,2.25198174393466e-05,2015,1,18,6
2015-01-19,2.7524221314757e-05,2.7524221314757e-05,0.0108232744815438,0.107310683401393,0.103065697814076,0.008147169509168,3.00264232524622e-05,2.50220193770518e-05,2015,1,19,0
2015-01-20,2.00176155016414e-05,2.7524221314757e-05,0.0183536512130675,0.240945782288414,0.327234216110177,0.0542064516774762,2.87753222836096e-05,2.25198174393466e-05,2015,1,20,1
2015-01-21,2.37709184081992e-05,3.00264232524622e-05,0.0233893326126992,0.278912943390183,0.28676735527264,0.0383037072623909,2.50220193770518e-05,2.25198174393466e-05,2015,1,21,2
2015-01-22,2.25198174393466e-05,2.50220193770518e-05,0.0474054668107935,0.438877462166707,0.522656187444952,0.0967951797581872,3.00264232524622e-05,2.25198174393466e-05,2015,1,22,3
2015-01-23,2.25198174393466e-05,2.87753222836096e-05,0.0889069881495716,0.583812505004404,0.601528094723357,0.116563826167027,2.62731203459044e-05,2.62731203459044e-05,2015,1,23,4
2015-01-24,2.50220193770518e-05,2.62731203459044e-05,0.0912753222836096,0.457909210104892,0.467532678757306,0.111493113940267,3.12775242213148e-05,2.00176155016414e-05,2015,1,24,5
2015-01-25,2.25198174393466e-05,3.62819280967251e-05,0.0993524301385219,0.541426455280647,0.592303727280006,0.119866732724798,2.87753222836096e-05,2.00176155016414e-05,2015,1,25,6
2015-01-26,1.87665145327889e-05,3.12775242213148e-05,0.0758592561454079,0.439347876130995,0.275148380574906,0.02638697053407,3.12775242213148e-05,1.75154135639363e-05,2015,1,26,0
2015-01-27,2.25198174393466e-05,2.7524221314757e-05,0.0526313155576908,0.278339939146449,0.168638401793578,0.0185663383777724,3.12775242213148e-05,1.87665145327889e-05,2015,1,27,1
2015-01-28,2.1268716470494e-05,2.7524221314757e-05,0.0601354191688686,0.503189056369605,0.52420630154536,0.116890363519897,2.87753222836096e-05,1.75154135639363e-05,2015,1,28,2
2015-01-29,2.00176155016414e-05,2.50220193770518e-05,0.0408672131475699,0.428931209464329,0.399602900552486,0.0602667847705981,2.7524221314757e-05,2.37709184081992e-05,2015,1,29,3
2015-01-30,2.00176155016414e-05,2.7524221314757e-05,0.0229214208503483,0.180934222115462,0.167227159900713,0.019631025302266,3.00264232524622e-05,1.62643125950837e-05,2015,1,30,4
2015-01-31,2.1268716470494e-05,2.62731203459044e-05,0.0443690447593883,0.43958308311314,0.490825676595404,0.094564466730723,2.37709184081992e-05,2.00176155016414e-05,2015,1,31,5
2015-02-01,2.50220193770518e-05,3.00264232524622e-05,0.0825176155016415,0.551620425974858,0.505617443350148,0.111630735046841,2.87753222836096e-05,2.1268716470494e-05,2015,2,1,6
2015-02-02,2.25198174393466e-05,3.50308271278725e-05,0.0838062494995596,0.428620936424053,0.33200716630635,0.0765711325966851,3.25286251901673e-05,2.37709184081992e-05,2015,2,2,0
2015-02-03,2.25198174393466e-05,3.87841300344303e-05,0.0191806289534791,0.172625660581312,0.381620826327168,0.120375930819121,2.87753222836096e-05,2.50220193770518e-05,2015,2,3,1
2015-02-04,1.87665145327889e-05,3.75330290655777e-05,0.0076542357274401,0.0923149871887261,0.183382626711506,0.0528627692369285,2.62731203459044e-05,2.62731203459044e-05,2015,2,4,2
2015-02-05,2.87753222836096e-05,3.25286251901673e-05,0.0419419088798142,0.452478180799103,0.601590649771799,0.175129113619986,2.62731203459044e-05,2.37709184081992e-05,2015,2,5,3
2015-02-06,2.00176155016414e-05,4.25374329409881e-05,0.13588207622708,0.65270688205621,0.591520538073505,0.145107694771399,3.25286251901673e-05,2.37709184081992e-05,2015,2,6,4
